,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
BELARUS,BLR,-1.07,0.30,3.00,17.31,6.22,31.58,-0.85,0.26,4.00,22.60,11.96,36.36,-1.35,0.21,5.00,10.58,3.83,20.10,-1.49,0.17,7.00,8.65,2.87,15.31,-1.50,0.17,7.00,8.17,3.83,15.31,-1.59,0.18,7.00,5.77,1.44,12.92,-1.77,0.19,7.00,3.37,1.44,8.13,-1.75,0.15,9.00,4.33,2.39,8.13,-1.69,0.14,9.00,4.81,2.87,9.09,-1.57,0.14,10.00,6.73,3.83,10.05,-1.53,0.14,10.00,7.58,4.25,10.38,-1.54,0.14,10.00,7.11,3.77,12.26,-1.64,0.14,9.00,4.69,3.27,9.81,-1.54,0.12,11,6,4,10
BELGIUM,BEL,1.46,0.22,6.00,92.79,83.73,100.00,1.36,0.23,6.00,90.87,76.56,100.00,1.39,0.22,7.00,92.31,79.90,99.52,1.39,0.20,8.00,94.23,80.86,100.00,1.46,0.19,8.00,95.67,87.08,100.00,1.45,0.19,8.00,91.83,84.69,99.04,1.41,0.19,8.00,91.35,83.73,99.52,1.36,0.17,9.00,92.79,84.21,100.00,1.38,0.17,9.00,93.75,85.17,100.00,1.35,0.17,9.00,93.27,82.78,100.00,1.36,0.15,10.00,93.36,85.38,100.00,1.38,0.15,10.00,94.31,85.85,99.53,1.34,0.14,11.00,92.96,85.51,96.73,1.35,0.14,11,93,86,96
BELIZE,BLZ,0.78,0.30,3.00,72.12,58.85,87.08,0.85,0.30,3.00,72.60,59.33,90.43,0.94,0.30,3.00,76.44,61.72,92.82,0.78,0.27,3.00,71.15,57.42,88.52,0.88,0.27,3.00,73.56,61.24,92.34,0.77,0.27,4.00,74.52,57.89,89.00,0.75,0.27,4.00,71.63,58.85,88.52,0.50,0.19,5.00,62.02,54.55,72.25,0.49,0.19,6.00,62.50,54.55,71.29,0.62,0.18,7.00,67.79,57.89,74.16,0.75,0.18,7.00,69.19,60.38,81.13,0.68,0.18,7.00,68.25,58.96,75.94,0.66,0.17,8.00,68.08,59.35,74.77,0.69,0.17,6,69,60,77
BENIN,BEN,0.12,0.30,3.00,54.33,37.80,65.55,0.34,0.30,3.00,58.65,45.45,72.25,0.36,0.27,4.00,59.62,49.28,72.25,-0.01,0.19,6.00,49.04,41.15,55.98,0.24,0.18,6.00,53.85,44.98,63.64,0.10,0.20,7.00,51.44,41.63,61.24,0.01,0.17,10.00,51.92,39.71,58.85,0.33,0.13,14.00,56.73,52.15,63.64,0.34,0.13,14.00,57.69,53.59,64.11,0.30,0.13,14.00,57.21,50.24,62.68,0.33,0.14,13.00,57.35,53.30,64.62,0.29,0.13,13.00,56.40,51.89,63.21,0.11,0.13,14.00,54.46,46.26,57.48,0.07,0.13,14,53,44,58
BERMUDA,BMU,1.13,0.41,1.00,84.62,62.20,100.00,1.10,0.47,1.00,84.13,58.37,100.00,0.88,0.47,1.00,75.00,51.67,99.04,1.05,0.51,1.00,79.81,54.07,100.00,1.10,0.48,1.00,86.06,56.46,100.00,1.08,0.39,1.00,83.65,61.24,98.56,1.12,0.42,1.00,85.58,62.20,100.00,1.04,0.51,1.00,81.25,55.02,100.00,1.01,0.53,1.00,79.81,53.59,100.00,1.00,0.53,1.00,80.29,53.59,100.00,1.00,0.52,1.00,77.25,54.25,100.00,1.02,0.49,1.00,79.15,55.66,100.00,1.04,0.46,1.00,79.81,56.54,100.00,1.06,0.44,1,82,58,100
BHUTAN,BTN,-0.81,0.30,3.00,23.08,11.96,40.67,-0.99,0.30,3.00,19.71,8.61,34.93,-0.98,0.30,3.00,20.19,9.09,32.54,-1.23,0.26,4.00,12.98,5.26,23.92,-1.19,0.25,4.00,15.87,6.70,26.32,-0.92,0.22,6.00,21.63,12.92,31.58,-1.03,0.20,7.00,17.79,10.05,27.27,-1.01,0.13,8.00,19.71,12.44,25.36,-0.84,0.14,7.00,25.00,18.18,30.14,-0.56,0.13,7.00,29.33,27.27,35.89,-0.51,0.13,8.00,30.81,29.25,39.15,-0.46,0.13,8.00,34.60,29.25,39.62,-0.46,0.13,8.00,32.39,28.97,40.19,-0.32,0.13,8,39,31,46
BOLIVIA,BOL,0.02,0.21,6.00,52.40,40.67,61.24,0.26,0.22,6.00,56.25,47.37,66.03,0.06,0.21,7.00,50.48,42.58,59.81,0.06,0.17,9.00,50.48,42.58,57.89,-0.09,0.17,9.00,44.71,39.23,52.15,-0.19,0.15,12.00,41.83,35.41,51.20,-0.17,0.15,13.00,43.75,34.45,53.59,0.04,0.12,15.00,47.60,42.58,55.50,0.00,0.12,15.00,47.60,42.58,55.02,-0.05,0.12,15.00,47.12,41.63,53.59,-0.03,0.12,15.00,47.39,41.04,54.72,-0.07,0.11,16.00,47.39,38.21,53.77,-0.12,0.11,17.00,45.54,38.79,52.80,-0.13,0.11,17,45,39,52
BOSNIA AND HERZEGOVINA,BIH,-0.18,0.28,3.00,45.19,30.62,58.85,-0.13,0.28,3.00,46.15,32.06,58.37,-0.25,0.22,4.00,43.27,30.14,51.67,-0.20,0.17,7.00,43.27,36.84,50.72,0.14,0.16,7.00,50.96,43.54,60.77,0.12,0.17,9.00,52.88,44.50,61.24,0.18,0.17,9.00,55.77,46.89,63.64,0.16,0.15,10.00,53.37,45.45,58.85,0.10,0.14,12.00,51.92,44.98,56.94,-0.03,0.14,12.00,47.60,40.67,55.02,-0.04,0.14,12.00,46.45,40.09,55.66,-0.13,0.14,12.00,44.08,34.91,53.30,-0.22,0.14,11.00,41.31,33.18,51.40,-0.14,0.12,14,45,37,53
BOTSWANA,BWA,0.87,0.22,5.00,74.52,64.11,87.08,0.73,0.23,5.00,70.19,58.85,84.21,0.64,0.21,6.00,66.83,56.46,78.95,0.65,0.17,9.00,67.79,58.85,73.21,0.69,0.16,10.00,68.27,61.24,76.56,0.73,0.16,11.00,72.60,62.20,80.86,0.57,0.15,13.00,65.87,59.33,72.73,0.49,0.13,15.00,61.54,56.46,69.86,0.48,0.13,15.00,61.06,55.50,68.90,0.48,0.13,15.00,61.54,56.94,68.90,0.42,0.13,15.00,59.24,55.66,67.92,0.44,0.13,15.00,61.14,55.66,67.92,0.39,0.13,15.00,59.62,55.14,67.29,0.50,0.12,15,64,58,70
BRAZIL,BRA,0.09,0.21,7.00,53.85,43.06,62.20,0.17,0.22,7.00,53.85,44.02,64.59,0.15,0.20,8.00,52.40,46.89,63.16,0.39,0.17,10.00,59.13,50.72,68.42,0.41,0.17,10.00,61.06,50.72,67.94,0.37,0.17,11.00,60.10,51.20,68.90,0.45,0.17,12.00,62.98,55.50,71.29,0.45,0.13,16.00,60.58,55.50,68.90,0.49,0.13,16.00,62.02,56.46,69.38,0.51,0.13,16.00,62.50,56.94,69.38,0.49,0.11,17.00,61.61,56.60,67.92,0.53,0.11,17.00,64.93,58.02,68.87,0.47,0.11,18.00,62.91,56.54,67.76,0.43,0.11,17,61,57,67
