,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
BELARUS,BLR,-0.93,0.56,1,20,1,58,-0.63,0.28,4,33,9,53,-0.50,0.25,5,37,17,57,-0.78,0.23,5,29,7,42,-0.70,0.18,6,29,13,43,-0.92,0.18,6,17,10,28,-0.87,0.17,6,20,12,34,-0.63,0.17,8,30,18,45,-0.68,0.17,8,28,15,41,-0.64,0.15,10,31,19,43,-0.64,0.16,10,29,20,43,-0.73,0.14,10,27,18,36,-0.72,0.14,9,25,18,38,-0.52,0.13,11,37,26,48
BELGIUM,BEL,1.31,0.23,5,86,83,92,1.32,0.19,5,86,83,93,1.46,0.23,5,92,84,93,1.45,0.18,5,91,83,92,1.38,0.20,5,91,83,92,1.35,0.19,5,90,83,92,1.34,0.18,5,90,82,92,1.25,0.19,6,85,78,92,1.30,0.20,6,86,81,92,1.32,0.19,6,87,80,92,1.43,0.18,7,91,84,93,1.49,0.19,7,90,84,93,1.56,0.17,8,91,86,94,1.55,0.16,9,91,85,94
BELIZE,BLZ,-0.01,0.56,1,60,20,80,-0.13,0.38,2,56,27,69,-0.20,0.35,2,53,25,69,-0.24,0.37,2,48,27,67,-0.13,0.31,2,54,33,68,-0.27,0.29,3,49,25,62,-0.27,0.27,3,49,29,61,-0.39,0.25,4,42,23,59,-0.38,0.24,5,42,22,58,-0.34,0.23,6,45,27,60,-0.04,0.24,6,58,40,68,-0.08,0.24,6,56,38,67,-0.26,0.21,7,51,31,61,0.01,0.26,5,59,42,69
BENIN,BEN,-0.93,0.56,1,20,1,58,-0.60,0.34,3,33,6,57,-0.49,0.33,3,38,10,62,-0.79,0.34,3,28,1,50,-0.57,0.26,4,36,13,54,-0.49,0.23,5,39,18,54,-0.97,0.20,7,18,7,32,-0.62,0.16,11,33,19,44,-0.47,0.16,11,39,25,53,-0.53,0.16,11,36,22,49,-0.67,0.17,10,27,18,41,-0.74,0.17,10,26,15,38,-0.63,0.17,10,30,19,46,-0.92,0.18,10,19,10,30
BERMUDA,BMU,1.36,0.56,1,89,70,98,1.38,0.51,1,91,70,95,1.38,0.50,1,90,72,95,1.30,0.47,1,89,71,94,1.32,0.38,1,89,75,94,1.28,0.39,1,88,75,94,1.27,0.32,1,88,73,93,1.27,0.42,1,89,73,95,1.30,0.41,1,89,73,94,1.32,0.40,1,90,74,95,1.35,0.42,1,89,73,95,1.33,0.43,1,88,72,95,1.31,0.40,1,88,73,95,1.29,0.42,1,87,72,95
BHUTAN,BTN,0.44,0.56,1,70,36,87,0.72,0.38,2,78,62,87,0.38,0.26,3,68,58,80,0.58,0.27,3,73,62,83,0.75,0.26,3,76,67,85,0.62,0.28,5,75,60,83,0.75,0.24,6,74,66,83,0.66,0.25,6,75,65,83,0.74,0.26,5,74,68,85,0.77,0.26,5,75,67,84,0.81,0.22,7,75,71,84,0.82,0.21,7,75,72,84,0.74,0.21,7,73,69,82,0.82,0.22,7,78,70,83
BOLIVIA,BOL,-0.90,0.30,3,22,5,40,-0.19,0.21,4,51,36,64,-0.37,0.23,6,46,26,59,-0.95,0.18,6,18,3,34,-0.79,0.19,7,24,9,41,-0.77,0.17,11,23,13,39,-0.76,0.18,11,25,14,39,-0.39,0.16,13,42,29,54,-0.36,0.16,13,44,32,57,-0.50,0.16,13,38,23,50,-0.63,0.17,13,30,19,46,-0.44,0.17,14,39,27,54,-0.53,0.16,15,36,23,50,-0.70,0.15,15,27,18,40
BOSNIA AND HERZEGOVINA,BIH,-0.35,0.31,2,42,22,63,-0.28,0.19,4,44,33,62,-0.49,0.21,5,39,22,55,-0.35,0.17,5,44,34,56,-0.30,0.16,6,47,35,57,-0.31,0.15,9,47,34,56,-0.20,0.15,9,51,40,57,-0.29,0.16,10,47,35,58,-0.38,0.16,11,42,31,55,-0.36,0.14,11,44,32,56,-0.37,0.15,11,44,30,55,-0.32,0.14,11,47,34,56,-0.31,0.15,10,47,36,56,-0.30,0.13,13,49,39,56
BOTSWANA,BWA,0.59,0.30,3,75,61,84,0.71,0.20,5,78,67,83,0.67,0.24,5,75,65,84,0.61,0.18,7,75,67,83,1.25,0.19,8,86,81,92,0.88,0.17,9,80,73,85,1.14,0.18,9,83,79,91,0.90,0.15,11,78,74,84,0.94,0.16,11,79,74,85,0.99,0.15,11,80,74,86,0.92,0.16,11,79,73,85,1.00,0.16,11,80,74,86,0.99,0.16,11,80,73,86,0.94,0.15,11,79,73,84
BRAZIL,BRA,-0.07,0.23,5,56,38,65,0.00,0.18,6,61,43,65,0.02,0.21,7,60,48,66,0.01,0.17,7,59,48,64,0.10,0.17,8,59,51,68,0.05,0.16,10,57,50,65,-0.17,0.16,10,52,41,58,-0.14,0.14,14,54,43,61,-0.12,0.15,13,55,43,60,-0.02,0.15,13,58,49,63,-0.12,0.16,14,56,43,63,0.00,0.16,15,59,50,65,0.15,0.15,16,63,56,69,-0.07,0.14,15,56,49,63
