,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
BULGARIA,BGR,-0.12,0.31,5,49,25,64,0.08,0.27,6,54,35,68,0.20,0.22,8,58,42,69,0.55,0.20,9,69,60,77,0.63,0.17,9,70,64,77,0.67,0.18,9,73,65,79,0.64,0.17,9,69,63,76,0.57,0.17,11,67,59,76,0.62,0.17,11,70,62,78,0.69,0.17,11,72,63,79,0.66,0.16,11,73,64,78,0.64,0.16,11,74,62,79,0.54,0.15,12,71,58,76,0.54,0.17,12,69,59,76
BURKINA FASO,BFA,-0.25,0.40,3,41,21,65,-0.39,0.30,5,34,18,55,-0.12,0.27,5,47,28,62,-0.14,0.23,6,49,34,60,-0.35,0.20,6,42,24,53,-0.34,0.19,7,42,27,54,-0.42,0.18,7,40,24,51,-0.31,0.17,10,44,29,54,-0.25,0.17,10,46,31,54,-0.17,0.17,10,50,37,55,-0.09,0.16,10,51,39,57,-0.14,0.16,10,48,37,54,-0.16,0.16,10,47,36,55,-0.12,0.17,11,48,37,56
BURUNDI,BDI,-1.67,0.42,2,4,1,19,-1.59,0.30,4,7,3,14,-1.22,0.30,3,12,7,21,-1.32,0.26,4,9,4,20,-1.22,0.22,4,12,4,19,-1.20,0.21,5,11,5,19,-1.36,0.19,6,8,3,16,-1.21,0.18,8,10,4,19,-1.24,0.18,8,10,5,17,-1.23,0.18,8,9,4,17,-1.15,0.17,8,11,6,21,-1.10,0.17,8,13,6,23,-1.00,0.17,8,17,8,26,-0.96,0.18,9,20,10,28
CAMBODIA,KHM,-0.05,0.33,3,50,26,66,-0.18,0.31,4,45,24,62,-0.15,0.27,5,43,26,62,-0.31,0.23,6,42,25,57,-0.46,0.19,6,37,21,49,-0.50,0.20,7,32,20,48,-0.49,0.18,8,35,23,49,-0.59,0.19,9,29,19,45,-0.47,0.19,9,33,22,51,-0.44,0.18,9,37,24,51,-0.47,0.17,9,35,25,46,-0.46,0.17,9,36,25,46,-0.57,0.16,10,32,22,42,-0.35,0.17,10,39,28,51
CAMEROON,CMR,-1.13,0.32,4,15,5,26,-0.64,0.27,6,25,14,42,-0.59,0.24,6,26,14,41,-0.89,0.21,7,20,12,33,-0.83,0.18,8,20,14,31,-0.68,0.18,8,24,16,40,-0.86,0.17,9,21,12,27,-0.83,0.17,10,21,14,31,-0.83,0.17,10,21,15,30,-0.81,0.17,10,21,15,32,-0.74,0.16,10,25,17,35,-0.73,0.16,10,25,18,36,-0.79,0.16,11,23,15,33,-0.93,0.17,11,21,11,28
CANADA,CAN,1.43,0.27,6,92,80,98,1.56,0.27,6,95,85,99,1.49,0.23,6,93,83,99,1.56,0.23,6,93,85,100,1.53,0.20,6,92,86,99,1.64,0.21,6,94,87,100,1.56,0.19,6,94,86,100,1.55,0.21,7,93,86,100,1.60,0.22,7,94,86,100,1.64,0.23,7,95,87,100,1.70,0.22,7,96,88,100,1.69,0.24,7,96,86,100,1.68,0.22,8,96,87,100,1.69,0.22,8,96,89,100
CAPE VERDE,CPV,-0.58,0.70,1,26,4,69,-0.21,0.37,3,42,21,65,0.00,0.34,3,54,29,69,-0.29,0.28,4,42,22,59,-0.23,0.24,4,47,27,57,-0.34,0.23,5,42,23,56,-0.31,0.21,5,45,25,54,-0.22,0.21,6,47,31,56,-0.20,0.21,6,48,31,57,-0.06,0.20,6,53,40,60,0.02,0.20,6,54,42,62,-0.04,0.20,7,52,40,59,0.07,0.19,7,54,43,63,0.04,0.21,7,54,42,63
CAYMAN ISLANDS,CYM,1.00,0.48,1,82,59,98,1.01,0.49,1,83,57,98,1.23,0.45,1,89,67,99,1.42,0.38,1,91,75,100,1.39,0.29,1,91,77,100,1.42,0.33,1,90,79,100,1.35,0.25,1,90,77,99,1.34,0.32,1,91,73,100,1.36,0.37,1,90,72,100,1.13,0.39,1,84,64,98,1.14,0.34,2,84,70,97,1.14,0.36,2,83,70,97,1.13,0.36,2,83,70,96,1.10,0.35,2,82,69,95
CENTRAL AFRICAN REPUBLIC,CAF,-0.92,0.48,1,21,4,48,-0.88,0.33,3,19,7,35,-0.91,0.30,3,17,9,34,-1.13,0.25,5,14,6,25,-1.14,0.21,5,14,5,20,-1.19,0.20,6,11,5,19,-1.33,0.19,6,9,3,17,-1.19,0.21,5,12,4,20,-1.22,0.20,5,11,5,19,-1.22,0.20,5,10,4,18,-1.25,0.17,8,8,5,18,-1.15,0.17,8,12,6,21,-1.18,0.17,8,10,7,22,-1.09,0.19,8,13,8,24
CHAD,TCD,-1.30,0.42,2,9,2,26,-0.93,0.30,4,17,7,32,-0.78,0.28,4,20,12,37,-0.92,0.25,5,19,8,34,-0.91,0.21,6,18,10,29,-0.83,0.20,7,20,12,32,-1.17,0.18,7,12,6,20,-1.08,0.18,9,15,8,22,-1.12,0.18,9,13,6,21,-1.16,0.17,9,12,5,19,-1.04,0.17,9,15,6,24,-1.06,0.17,9,15,8,24,-1.01,0.16,9,16,8,25,-1.08,0.18,9,13,8,24
