,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
BRAZIL,BRA,-0.15,0.23,6,51,33,61,-0.11,0.19,6,52,39,61,0.05,0.19,6,58,46,67,0.03,0.17,8,59,48,65,0.18,0.17,8,61,54,68,0.07,0.17,9,60,49,67,-0.10,0.17,9,53,42,60,-0.23,0.17,11,46,36,56,-0.20,0.19,11,49,36,57,-0.09,0.19,11,52,42,61,-0.10,0.18,11,51,43,61,-0.04,0.19,11,54,43,64,-0.12,0.19,11,50,42,61,-0.12,0.19,11,50,40,60
BRUNEI DARUSSALAM,BRN,0.99,0.29,2,83,69,90,0.91,0.28,2,81,70,88,0.88,0.31,2,80,67,88,0.86,0.28,2,79,67,88,0.67,0.31,2,73,61,85,0.21,0.34,2,65,47,77,0.58,0.28,2,70,59,83,0.84,0.33,2,77,65,88,0.92,0.35,2,79,65,89,0.91,0.29,3,79,67,88,0.94,0.24,4,78,70,88,0.90,0.25,4,78,69,87,0.89,0.24,4,77,68,86,0.83,0.24,4,75,66,85
BULGARIA,BGR,-0.31,0.25,3,44,25,59,-0.24,0.21,4,47,30,59,-0.04,0.20,6,54,42,65,0.20,0.18,7,62,53,69,0.11,0.18,7,61,53,67,0.19,0.18,7,64,54,71,0.19,0.18,7,61,52,69,0.00,0.18,10,55,45,65,0.00,0.19,10,54,45,64,-0.05,0.20,10,53,43,64,0.16,0.19,10,60,50,67,0.11,0.20,10,59,47,67,0.11,0.20,10,60,48,67,0.14,0.19,10,60,47,67
BURKINA FASO,BFA,-1.02,0.29,2,14,4,33,-0.75,0.24,4,23,10,43,-0.62,0.25,4,30,12,47,-0.72,0.22,5,27,11,43,-0.62,0.23,5,30,14,49,-0.53,0.21,6,35,18,50,-0.60,0.21,6,33,17,48,-0.74,0.17,10,27,16,38,-0.73,0.19,10,25,16,41,-0.47,0.18,11,40,21,49,-0.58,0.18,11,35,21,47,-0.56,0.18,11,35,20,46,-0.55,0.18,11,37,20,47,-0.63,0.18,11,30,18,43
BURUNDI,BDI,-1.73,0.31,1,3,0,9,-1.66,0.27,3,3,1,9,-1.44,0.28,3,5,2,13,-1.45,0.24,4,5,1,12,-1.47,0.26,4,5,1,14,-1.31,0.23,5,6,1,15,-1.26,0.23,5,9,1,21,-1.08,0.18,8,14,6,25,-1.24,0.21,8,9,3,17,-1.09,0.20,8,13,5,21,-1.03,0.20,8,14,7,28,-1.10,0.21,8,13,5,25,-1.06,0.20,9,14,6,27,-1.33,0.19,10,7,1,16
CAMBODIA,KHM,-0.88,0.27,2,19,6,37,-1.07,0.23,3,13,5,25,-0.85,0.20,4,19,10,36,-0.84,0.18,5,21,10,33,-0.88,0.17,5,18,10,32,-0.88,0.18,6,18,8,32,-0.97,0.18,7,17,10,30,-0.96,0.18,9,18,9,29,-0.86,0.20,9,19,12,34,-0.95,0.20,9,16,8,32,-0.91,0.20,9,19,8,37,-0.92,0.21,9,19,8,33,-0.85,0.21,9,20,9,38,-0.83,0.20,9,22,13,38
CAMEROON,CMR,-1.00,0.25,3,15,6,30,-0.74,0.20,5,23,13,41,-0.67,0.21,5,27,13,44,-0.82,0.19,6,23,11,34,-0.65,0.17,7,28,17,41,-0.70,0.18,7,24,13,43,-0.88,0.17,8,20,12,33,-0.93,0.17,10,19,9,29,-0.83,0.19,10,21,13,34,-0.79,0.18,10,21,14,38,-0.82,0.18,10,21,11,38,-0.88,0.19,10,20,10,35,-0.87,0.18,10,19,10,35,-0.90,0.18,10,19,11,31
CANADA,CAN,1.88,0.23,5,96,90,100,1.97,0.21,5,96,90,100,1.95,0.21,5,96,89,100,1.95,0.19,5,96,90,100,2.01,0.19,5,97,92,100,1.96,0.21,5,95,91,100,1.91,0.19,5,98,91,100,1.92,0.20,7,98,91,100,1.75,0.21,7,95,88,99,1.77,0.22,7,95,88,99,1.75,0.21,7,96,88,99,1.79,0.22,7,96,89,99,1.78,0.22,7,96,88,99,1.75,0.22,7,95,89,99
CAPE VERDE,CPV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.35,0.41,2,66,44,83,0.30,0.39,2,65,43,81,-0.12,0.27,4,53,33,65,-0.10,0.28,4,55,34,66,-0.07,0.25,5,57,38,67,-0.23,0.24,5,48,33,60,0.10,0.22,6,58,46,68,0.34,0.23,6,65,53,77,0.06,0.23,6,57,46,67,0.04,0.23,6,57,46,66,-0.02,0.21,7,55,43,65,0.15,0.22,7,61,48,68,0.10,0.21,7,59,46,67
CAYMAN ISLANDS,CYM,1.96,0.31,1,98,90,100,1.96,0.34,1,96,88,100,1.94,0.37,1,95,88,100,1.92,0.32,1,95,89,100,1.30,0.38,1,89,73,96,1.16,0.42,1,86,69,93,1.25,0.32,1,88,74,96,1.25,0.41,1,87,71,98,1.24,0.47,1,86,69,98,1.27,0.45,1,86,70,98,1.24,0.32,2,86,73,96,1.23,0.33,2,86,72,96,1.22,0.32,2,85,72,95,1.23,0.31,2,85,72,95
CENTRAL AFRICAN REPUBLIC,CAF,-1.46,0.31,1,5,1,17,-1.31,0.27,3,7,3,17,-1.38,0.28,3,5,3,16,-1.62,0.24,4,3,0,9,-1.57,0.26,4,2,1,10,-1.56,0.23,5,4,0,8,-1.60,0.23,5,2,0,11,-1.41,0.26,4,5,0,16,-1.44,0.28,5,4,1,16,-1.40,0.26,5,5,1,15,-1.42,0.21,8,5,1,13,-1.39,0.21,8,5,1,14,-1.28,0.21,8,8,4,17,-1.46,0.21,8,6,1,13
CHAD,TCD,-0.67,0.31,1,28,12,50,-0.63,0.27,3,28,13,49,-0.76,0.28,3,24,9,44,-0.91,0.24,4,18,7,34,-1.06,0.22,5,12,5,27,-1.12,0.20,6,9,6,21,-1.35,0.20,6,7,1,15,-1.44,0.18,9,5,1,11,-1.59,0.20,9,2,1,8,-1.54,0.19,9,2,1,10,-1.42,0.19,9,5,1,11,-1.45,0.20,9,5,1,12,-1.35,0.20,9,8,2,15,-1.49,0.19,9,5,1,13
